rental_key,rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,amount,payment_date
0,1346,6/15/2005,4540,585,6/24/2005,1,7.99,6/15/2005
1,1347,6/15/2005,374,190,6/16/2005,1,2.99,6/15/2005
2,1348,6/15/2005,2078,196,6/17/2005,1,2.99,6/15/2005
3,1349,6/15/2005,1131,267,6/17/2005,1,4.99,6/15/2005
4,1350,6/15/2005,4261,316,6/23/2005,1,4.99,6/15/2005
5,1351,6/15/2005,2364,484,6/22/2005,1,3.99,6/15/2005
6,1352,6/15/2005,4352,276,6/18/2005,1,0.99,6/15/2005
7,1353,6/15/2005,2711,480,6/21/2005,2,0.99,6/15/2005
8,1354,6/15/2005,1294,83,6/23/2005,2,5.99,6/15/2005
9,1355,6/15/2005,4203,499,6/20/2005,1,2.99,6/15/2005
10,1356,6/15/2005,1318,212,6/19/2005,1,0.99,6/15/2005
11,1357,6/15/2005,2285,205,6/23/2005,1,4.99,6/15/2005
12,1358,6/15/2005,2025,442,6/21/2005,1,0.99,6/15/2005
13,1359,6/15/2005,3140,353,6/17/2005,1,2.99,6/15/2005
14,1360,6/15/2005,4107,14,6/18/2005,2,4.99,6/15/2005
15,1361,6/15/2005,4338,115,6/19/2005,1,0.99,6/15/2005
16,1362,6/15/2005,4524,98,6/19/2005,1,3.99,6/15/2005
17,1363,6/15/2005,771,197,6/17/2005,2,0.99,6/15/2005
18,1364,6/15/2005,115,400,6/16/2005,1,0.99,6/15/2005
19,1365,6/15/2005,3813,25,6/19/2005,2,2.99,6/15/2005
20,1366,6/15/2005,4238,576,6/24/2005,1,4.99,6/15/2005
21,1367,6/15/2005,1505,94,6/21/2005,1,4.99,6/15/2005
22,1368,6/15/2005,2020,222,6/23/2005,2,8.99,6/15/2005
23,1369,6/15/2005,679,221,6/16/2005,1,0.99,6/15/2005
24,1370,6/15/2005,644,396,6/22/2005,2,1.99,6/15/2005
25,1371,6/15/2005,760,491,6/23/2005,1,4.99,6/15/2005
26,1372,6/15/2005,3740,108,6/17/2005,2,4.99,6/15/2005
27,1373,6/15/2005,284,51,6/22/2005,1,1.99,6/15/2005
28,1374,6/15/2005,3353,120,6/22/2005,1,3.99,6/15/2005
